CustomerID,Age,AnnualIncome,SpendingScore,Region,Category,PurchaseFrequency
1,50,87987.10873172004,95.35536758769635,West,Electronics,4
2,43,78492.67365825537,100.97935663174168,North,Electronics,5
3,47,61192.60739840348,92.20770822468006,West,Home,5
4,58,47061.26444588852,79.5648186053335,South,Home,1
5,37,73964.46627227179,89.1086717536688,South,Home,5
6,27,67869.70770843499,77.01856620272098,North,Beauty,8
7,63,77903.86440055465,93.13571155579473,South,Electronics,6
8,54,72703.43603363939,107.44639397751997,South,Electronics,2
9,34,80991.05430638671,92.9668258310604,East,Home,5
10,31,49295.29576878864,51.65305202312658,West,Clothing,5
11,34,250000.0,96.69936376142363,North,Home,4
12,24,63951.99209384799,82.50750173276079,North,Beauty,6
13,42,101505.21745250531,98.92738684636275,North,Home,5
14,18,46216.243638208645,93.76281407114625,North,Home,6
15,18,94719.27606330498,76.95570567689639,North,Beauty,5
16,33,63958.21566925295,94.89635621520817,South,Home,4
17,32,46971.63992771103,110.19085653069814,East,Electronics,7
18,28,50322.28331891357,57.81558805530521,North,Clothing,5
19,29,53593.0538361136,91.33660779487398,East,Home,7
20,18,68483.31892803832,78.17031434553797,East,Beauty,6
21,42,70456.70976070999,55.035697183892836,South,Clothing,4
22,27,48525.99992122842,73.62164463671468,North,Beauty,8
23,25,59512.90815478034,61.30363426424074,South,Clothing,4
24,18,102845.40717223728,78.89060613049742,North,Clothing,3
25,33,94550.86340201422,87.73878661323255,South,Home,5
26,90,68726.47339348064,60.79614055050688,East,Electronics,10
27,26,60760.069563364006,104.33478322672408,North,Home,6
28,34,62400.62653436523,78.18775659517172,West,Beauty,4
29,22,72270.35945460833,73.20808641029777,East,Beauty,3
30,21,39544.14869603189,57.08801606502115,West,Clothing,3
31,18,54852.4692515331,62.74327265198315,East,Clothing,5
32,67,26628.318522448208,92.60315402153581,South,Electronics,2
33,39,67984.46245210558,95.72312287249669,North,Home,6
34,18,72943.91879405481,76.02748152025497,East,Beauty,2
35,34,50336.27075401252,65.6004587049555,South,Clothing,5
36,30,91479.73526580066,108.23956126273059,North,Electronics,2
37,32,35484.68673995318,73.89070287777905,North,Beauty,6
38,18,30712.502395803596,75.15559662337573,East,Clothing,3
39,18,64489.03637119944,77.61385637144714,North,Beauty,5
40,47,80941.9660522431,103.12379119766771,East,Electronics,2
41,53,93678.55382915738,101.40283843517807,North,Electronics,6
42,32,50822.3147426212,72.26262941448809,West,Beauty,6
43,38,81573.61666862591,95.74716757973631,South,Home,7
44,26,59229.83060998585,66.74231289515937,West,Beauty,6
45,18,56547.45400118361,75.92421291400579,East,Clothing,6
46,31,77673.19874973345,101.60512919865496,West,Home,4
47,19,73046.4575682684,75.75623471634732,East,Clothing,4
48,42,28472.15686031501,77.57164971278299,North,Beauty,7
49,44,89530.80699451792,88.10140551616932,North,Home,5
50,18,87601.82708294904,70.03097791049089,East,Clothing,5
51,33,47488.74596980941,64.26145384845299,West,Beauty,8
52,25,67916.07066874819,73.39123648004896,North,Beauty,4
53,31,69880.60372565477,94.83681241833236,South,Home,2
54,37,65213.47531647814,68.83759482078953,North,Beauty,3
55,57,48993.8969230916,102.5461532361197,South,Electronics,4
56,36,46567.53264123897,56.50342831103984,West,Clothing,6
57,18,59488.91858017109,66.63786549534564,South,Clothing,9
58,26,83454.58038518729,84.06344067178398,South,Beauty,3
59,33,70872.00309188865,64.3757710953363,South,Beauty,5
60,56,52587.71335827788,96.87856752164987,South,Electronics,3
61,34,75433.97421296689,106.42865308361287,North,Home,2
62,27,3029.147587398489,83.91852067739376,South,Beauty,4
63,18,82975.31400744207,83.2858841055101,North,Beauty,9
64,18,25205.724424438005,82.08547662211623,South,Beauty,4
65,39,52751.18117193736,63.07683156491022,East,Beauty,5
66,41,37606.60210747713,44.72703497758363,West,Clothing,8
67,29,34106.37048558188,75.85570621019036,South,Beauty,8
68,37,83216.5357475704,54.94801598122015,East,Clothing,5
69,34,50645.97597376217,66.882566887901,South,Beauty,3
70,32,66930.07763461431,95.26714472870214,South,Home,9
71,49,59061.58842241632,108.69480263799916,South,Electronics,2
72,58,69540.81654446243,87.17566056527046,East,Home,8
73,29,61536.43782120511,79.33330626599206,West,Beauty,7
74,48,34340.15551622861,58.64468985446133,East,Beauty,6
75,18,79925.3363889428,87.93420752771958,West,Beauty,9
76,49,50124.868336773754,88.03190770481658,South,Home,3
77,31,28868.362026804978,69.22363455993414,North,Beauty,6
78,36,51437.69678068175,85.25870734960793,South,Home,7
79,26,90015.19581268622,66.40531093690333,West,Clothing,7
80,21,77004.43484226985,119.04011331268096,East,Electronics,5
81,42,53026.957311842816,100.46280227593905,South,Electronics,5
82,44,53014.84591363143,80.27685498099366,East,Home,1
83,42,53567.298975652346,56.702947709061206,East,Clothing,7
84,33,101534.95967121681,93.10507890030047,East,Home,4
85,18,67638.70904463106,70.59541584694006,South,Clothing,7
86,23,68600.8329438214,71.06238518786503,East,Beauty,5
87,35,80605.66908063684,55.6224550968025,East,Clothing,5
88,28,64775.78318053027,57.719513819971795,South,Clothing,3
89,18,54819.15708358594,72.3462783594931,East,Clothing,5
90,51,56073.003018300435,110.54927832874232,South,Electronics,5
91,26,58567.97481171872,59.51341426821165,West,Clothing,4
92,41,59255.55526980317,70.70659908453958,West,Beauty,3
93,21,74552.5908727396,79.67729373704817,West,Beauty,3
94,26,61038.91771614599,80.54505099450499,East,Beauty,5
95,20,74652.80154431159,66.47041019396607,North,Clothing,10
96,22,58385.668397828355,106.78050625834994,North,Home,2
97,43,61572.70380632181,94.94145828318001,East,Home,5
98,33,20035.986309357846,62.10062445895916,North,Beauty,3
99,45,78326.55349404963,104.13497256635048,South,Electronics,4
100,37,66929.76951795985,98.57038582112017,North,Home,6
101,18,79960.20219719305,71.8166734033877,East,Clothing,3
102,34,2074.892436126218,90.56476910531842,East,Home,4
103,25,101767.49409561456,80.32085351170522,South,Beauty,4
104,35,57208.207436896526,103.32437748013882,West,Electronics,5
105,38,82163.65633475033,101.57936245061157,East,Home,8
106,44,39201.881457489384,85.67553349906808,South,Home,5
107,52,72255.4781012514,74.02724452678447,North,Beauty,6
108,47,38931.68873652688,109.76456525615211,North,Electronics,3
109,48,47524.6207860839,111.38888792599222,South,Electronics,4
110,29,98280.62707733572,70.74179455411526,South,Beauty,5
111,18,56186.35198473307,81.80858508128559,East,Clothing,6
112,39,64348.657463594456,94.06412199334984,North,Home,7
113,25,77401.35461377508,67.3570617883618,South,Clothing,5
114,69,69913.63775945209,77.94823855046131,North,Home,2
115,37,63008.37810287153,93.13063089842707,South,Home,6
116,28,67299.2200493245,54.52370689666439,North,Clothing,4
117,29,108068.31170476551,82.47574306054484,West,Beauty,2
118,18,58847.62405932829,78.68419363970087,East,Beauty,4
119,53,64021.98093429935,92.69296069147804,North,Home,2
120,39,81013.08792015223,61.137951312193465,West,Beauty,3
121,49,82110.51865915967,84.4744473991702,North,Home,4
122,19,83740.6061112076,76.47183778796602,North,Beauty,7
123,56,72774.60444058369,77.75197372144036,West,Home,5
124,18,37139.90174539033,86.24101983837637,North,Beauty,5
125,52,92668.63064602192,98.8348736814022,North,Electronics,7
126,51,37073.09213962624,43.562234166124796,East,Clothing,9
127,33,66052.70930478067,105.98174869812202,West,Electronics,7
128,18,44914.48299961284,68.89454909034568,West,Clothing,6
129,26,58717.23306814015,61.67831176310416,South,Clothing,6
130,33,66575.2482060696,96.0999774310321,North,Home,9
131,18,66427.14430900547,69.72414108023118,East,Clothing,2
132,45,68438.41508470569,101.6381252127317,North,Electronics,3
133,32,92274.22538117295,112.5736586375885,North,Electronics,9
134,35,69070.6860302796,65.80911758834235,South,Beauty,3
135,33,55116.867294187025,114.88928327515256,North,Electronics,8
136,48,79281.74336576715,60.49830670496756,East,Beauty,5
137,18,83789.40977849282,72.57813941997236,East,Clothing,4
138,41,35447.84369726015,107.35243665431787,South,Electronics,9
139,34,71948.00139699716,58.93729691044456,North,Clothing,2
140,30,74023.45484621797,110.50861604235885,East,Electronics,5
141,47,54048.72993280016,108.99005885152214,North,Electronics,10
142,45,87514.13626623238,67.96769716146595,North,Beauty,5
143,18,56998.88825934946,72.76228693444722,North,Clothing,4
144,47,62511.52906943084,99.93581763474239,South,Electronics,7
145,43,56538.56351432261,89.00086632856737,North,Home,3
146,34,60311.58095162935,61.89914320377525,East,Clothing,6
147,18,38074.49826209596,68.12445502528217,North,Clothing,3
148,18,31198.982348114114,78.34259492736277,East,Clothing,3
149,36,91890.10126449945,69.51530058369286,North,Beauty,4
150,43,43060.77303363344,107.88691459541323,East,Home,1
151,28,40172.15301087385,57.059761883834966,East,Clothing,2
152,49,16932.197727925704,105.65459669183454,North,Electronics,4
153,36,47220.765046209955,105.5596860082436,North,Electronics,5
154,32,33538.204131850034,74.4231147624337,East,Beauty,8
155,48,92840.30320272737,103.15511479005447,West,Electronics,7
156,18,80196.34178685269,70.28464533171044,South,Clothing,7
157,67,46236.99309644553,90.93218717604775,West,Electronics,2
158,30,105048.71610688618,67.16916419329922,West,Clothing,6
159,30,79635.3097398319,109.72073908673595,North,Electronics,8
160,47,53503.37232982755,92.38253738219987,South,Home,6
161,18,10011.88570252854,79.68914770379168,West,Beauty,4
162,39,105818.85145181484,70.39812659775787,North,Beauty,4
163,53,32208.550664728078,83.95329712390688,West,Home,4
164,30,27092.025060862165,92.21944215406457,West,Home,1
165,41,80451.4086401928,64.8384940709523,North,Beauty,6
166,44,108795.04812678546,81.09855794715608,North,Home,8
167,34,87685.45637021036,51.1135225536395,North,Clothing,7
168,67,71278.18240104719,89.61306741268895,South,Electronics,7
169,27,71895.08683330572,75.15865471015196,West,Beauty,6
170,30,77068.31117560616,92.37390457131283,North,Home,6
171,18,75178.5717957353,66.28332412073776,East,Clothing,4
172,20,65623.82847938752,72.86313497152034,West,Beauty,3
173,39,62084.022079037524,93.57470885879566,East,Home,6
174,34,58748.13744200955,76.94216811251694,South,Beauty,3
175,43,44920.70822266648,98.13664325797384,North,Home,10
176,39,54386.49846266452,64.82862641591343,East,Beauty,5
177,25,26140.863716092288,68.21103696442779,South,Clothing,6
178,42,58033.207464105,59.78622273865513,North,Clothing,6
179,41,40228.17785698165,111.22427015590347,East,Electronics,4
180,62,37928.21365568458,62.14423743774695,East,Beauty,6
181,52,63597.88302306957,95.33536980945732,South,Electronics,5
182,19,87840.04572689199,76.83196519508567,North,Beauty,3
183,27,78366.33212004625,104.6084457119396,North,Home,2
184,45,28589.98792753646,91.14547415823189,East,Home,3
185,42,40207.43726859325,100.29883873725646,East,Electronics,2
186,38,78815.42375976432,69.50999505378661,East,Beauty,8
187,50,40350.252129233806,110.60496782922554,North,Electronics,7
188,24,55507.33700005951,62.1425219980588,South,Clothing,4
189,34,71001.04198049103,112.88923782327166,South,Electronics,3
190,26,40633.11090272729,100.07443150653482,North,Electronics,3
191,34,62107.5101229192,93.88416167148758,West,Home,6
192,55,33319.49010163591,94.67370630394798,South,Electronics,5
193,32,47972.64712097573,69.0251772455465,East,Beauty,1
194,25,66395.63868285074,101.34406178206078,West,Home,8
195,47,28140.125329366616,92.44005331218973,West,Electronics,9
196,29,68809.49475920798,56.8266445316157,South,Clothing,4
197,34,59607.24402146637,103.24654653292373,West,Electronics,7
198,46,71049.79908834296,86.3074266688298,West,Electronics,3
199,45,64478.28268129323,101.81505211153029,South,Electronics,7
200,26,87282.80859947688,96.90681001257713,South,Home,5
201,34,62504.49005295814,65.42002284415986,West,Beauty,6
202,31,51411.889177494944,64.2796791116538,East,Clothing,8
203,57,62445.95006064568,90.79029090419344,North,Electronics,2
204,42,70865.96058072775,57.77619806197349,West,Beauty,4
205,18,60977.20140651408,75.72337920703771,West,Beauty,9
206,28,60811.83382407765,107.09181997881937,East,Home,4
207,31,45960.16624386489,65.41774551290803,West,Clothing,4
208,46,46741.98164898103,88.5540490936246,West,Home,3
209,36,31947.89456400613,67.88045573392039,North,Beauty,4
210,76,94991.53486373878,50.55939589414442,North,Beauty,4
211,36,35122.7352921743,74.55189656641632,North,Beauty,6
212,53,46141.896044081856,85.56831070876636,South,Home,7
213,36,45631.85468861605,51.17668325743803,South,Clothing,3
214,52,77898.48753888882,99.29952628398219,North,Electronics,6
215,36,54101.00643415944,83.42088787489666,North,Home,8
216,39,84954.84145347468,65.77121270101576,South,Beauty,7
217,30,46530.18751512263,96.52282576738618,East,Home,3
218,27,65579.88324447603,69.59019617866413,West,Beauty,4
219,39,43293.05893480485,97.37439370558738,West,Electronics,6
220,45,102902.98255546777,102.9145592658602,North,Electronics,8
221,52,36248.03161940974,42.9804317551681,East,Clothing,3
222,18,66196.41420454055,76.78642606998643,South,Beauty,4
